Пользователь,Дата,Комментарий,Рейтинг,Название заведения,Средняя оценка,Кол-во оценок
Timq <>,25 марта 2025,"Половина меню на стопе, казалось бы стейк хаус, а из стейков только тибоун был) прожарку не уточняли, болоньезе в столовке и то лучше на вкус",2,Tirol,4.5,590
Алихан ㅤ,23 марта 2025,Очень атмосферно,5,Tirol,4.5,590
Nata Ni,"21 марта 2025, отредактирован",Атмосферное место. Активный и весёлый вечер. Позитива море!,5,Tirol,4.5,590
Jo Jo,21 марта 2025,"Обслуживание хорошее, персонал вежливый, но вот кухня сильно хромает. Стейки сухие и не сочные, паста тоже так себе если честно. Из меню рекомендовал бы только бургеры",3,Tirol,4.5,590
Kiss Miss,"21 марта 2025, отредактирован","Шикарное заведение, зал в стиле Барокко просто нереальной красоты .",5,Tirol,4.5,590
Александра Ефремова,15 марта 2025,"Заведение очень понравилось! Красиво, чисто, вкусно, сервис на высшем уровне 😍 О меню рассказали, если нас какое-то блюдо заинтересовало)
Отдельное спасибо официанту Михаилу! Очень вежливый и приятный молодой человек. 🫶🏽",5,Tirol,4.5,590
Kaleria Justice,14 марта 2025,"Заведение впечатлило своим дизайном,хочешь посидеть на тихой веранде пожалуйста, хочешь очутиться на баре веков рыцарей пожалуйста
Также отдельное спасибо за приветливый персонал, менеджер Наталья встретила с улыбкой и проводила до столика ,рассказала о вкусностях вашего меню ,а официант Михаил сделал наш вечер очень пряитным) кухня очень вкусная , заказали стейки прожарки медиум, мало кто умеет выдать такой вкусный результат
Спасибо заведению Тироль! 5 звёзд!",5,Tirol,4.5,590
Макпал Бекенкызы,"14 марта 2025, отредактирован","Вкусно, тесно, обслуживание 5+",5,Tirol,4.5,590
Azamat Imankulov,11 марта 2025,"Дали воду с запахом, но все поменяли. Кухня неплохая",4,Tirol,4.5,590
Роза Даньярова,"10 марта 2025, отредактирован","Классный ресторан Тироль на арбате.
Были на квизе Катя не тупи. Понравилось очень, приятная обстановка, кухня вкусная, цены приемлемые, обслуживание на высшем уровне. Отлично провели время с коллегами🌹",5,Tirol,4.5,590
Гульдана Ахбетова,"10 марта 2025, отредактирован",Атмосфера отлично!,5,Tirol,4.5,590
Ернур Калдарович,10 марта 2025,"Обслуживание на очень низком уровне.

1. За весь вечер официанты сами не подойдут и не заберут лишнее, каждый раз приходилось просить. Пустые тарелки дольше 30-40 минут стоят.

2. Мы пришли до 5, народу было очень мало, но все равно обслуживание очень долго, и я щас про бар, напитки несут по 20 минут.

3. Была просьба разлить коктейль на два стакана, так как дети уже 3-коктейль не выпили бы, так бармен наотрез отказался это сделать, в итоге я сам все сделал. Не знаю в чем была его проблема. Да, бармен, потому что опять таки долго ждали и я сам уже пошел к бару забирать свой заказ.

4. некоторые блюда на 4, а что-то было вкусно, поэтому оценка 3, а не 2 или 1.

5. Принесут чай, чайные ложки нужно просить отдельно, принесут соки - стаканы просишь отдельно, на кнопки не реагируют, не дождешься официантов, сам раз 5-6 ходил к бару, чтобы найти их.

Для заведения с таким прайсом так не должно быть. В некоторых столовых обслуживают лучше.",3,Tirol,4.5,590
Дашко Корнилова,"8 марта 2025, отредактирован",Классное заведение,5,Tirol,4.5,590
Алеся Алеся,3 марта 2025,"Очень уютно и красиво! Кухня вкусная- спасибо поварам, официанты внимателтные, шустрые! Благодарю за прекрасно организованный вечер!",5,Tirol,4.5,590
Miko Miko,28 февраля 2025,"Субъективное мнение :завышенные цены, в честь того что ресторан находится в центре города. Блюда хорошие.",3,Tirol,4.5,590
Светлана Сбродова,"25 февраля 2025, отредактирован","Идеальный климат в этом ресторане – это просто!
Подбор, монтаж и сервис систем кондиционирования и вентиляции воздуха.
Работаем быстро, качественно, с гарантией!
Звоните, +7 701 932 77 37",5,Tirol,4.5,590
Андрей Ким,23 февраля 2025,"очень теплое и уютное заведение,огромное спасибо Талгату за обходительность и внимание,человек оставил хороший осадок на и так хорошее впечатление о заведении(кухня,кальян и атмосфера топ,спасибо всем причастным к этому)🙏🏻🙏🏻🙏🏻🙏🏻",5,Tirol,4.5,590
Канат Кужиев,22 февраля 2025,"Великолепная кухня
Приятный сервис
Уютная атмосфера",5,Tirol,4.5,590
Ainur Kazahstan,"21 февраля 2025, отредактирован",Классные игры вкусное пиво,5,Tirol,4.5,590
Alina N,"21 февраля 2025, отредактирован","Кухня зашивается и не рассчитана на такое количество людей. Мы ждём пиццу уже час ✌️
А еще нам принесли лимонад и чай но не подали бокалы, и мы еще минут 25 ждали бокалы чтобы попить",1,Tirol,4.5,590
Зульфия Велахунова,21 февраля 2025,"ждём напитки второй час…мы здесь не одни, а вот бармен один…разорваться не может…готовят (из слов нашего официанта)…
Вам бы второго бармена на подмогу, и снести в туалете картину с сексистскими цитатами…",1,Tirol,4.5,590
Ирина Остапова,"16 февраля 2025, отредактирован","Атмосфера очень душевная. Интерьер впечатлил, очень много интересных деталей.",5,Tirol,4.5,590
гульчихра хасанова,"16 февраля 2025, отредактирован","Вчера посетили ресторан Тироль. Пришли на концерт группы Киногерой! Все очень понравилось! Атмосфера, музыка, кухня, персонал! Отдельная благодарность официантке Евгении!",5,Tirol,4.5,590
Евгений Потапов,15 февраля 2025,Отличное место,5,Tirol,4.5,590
Kamilla Osp,14 февраля 2025,"Атмосферное, уютное заведение.",5,Tirol,4.5,590
Лана Блэк,"13 февраля 2025, отредактирован","Малый выбор алкогольных коктейлей.
Нет вин, пасты

И минусы, что в помещении курят",4,Tirol,4.5,590
Ди Жан,"13 февраля 2025, отредактирован",Вкусно . Но и цены очень вкусные))$,5,Tirol,4.5,590
Марьяш Каирбекова,10 февраля 2025,"Приходим сюда очень часто на квизы, радуюсь когда игра в Тироле.
Вкусная еда, отличный сервис.
Нравится интерьер, три совершенно разных зала, особенно второй этаж очень красивый.
В целом рекомендую)",5,Tirol,4.5,590
Елена Ибрагимова,"6 февраля 2025, отредактирован",Очень уютное заведение ! Большой выбор по меню и невероятно вкусная кухня ❤️ все сотрудники очень вежливые ✅,5,Tirol,4.5,590
Денис Черемисин,"4 февраля 2025, отредактирован","Ценник завышен исключительно из за местоположения ресторана. В целом все нормально - кухня, обслуживание, атмосфера.",4,Tirol,4.5,590
Король Душ,"1 февраля 2025, отредактирован",Очень вкусно! Борщ топ! Официанты шустрые и профессионалы своего дела=) добавьте в меню сидр и вообще будет пушка!😇,5,Tirol,4.5,590
Assel Dasty,"17 января 2025, отредактирован","Красивое место, персонал чуткий и атмосфера очень приятная!",5,Tirol,4.5,590
Amir Ondasyn,12 января 2025,"Были сегодня 12.01.25 во время игры квиз «Мохито».
Официантка Евгения уронила/пролила красный соус и испачкала 3 людей за нашим столом и 2 людей за другими столами. Уронила и просто пошла дальше. 0 реакции. Вы думаете, что она не заметила и пошла? Нет, она остановилась, посмотрела и просто пошла дальше.
Ни извините, ни салфеток - ничего. Подозвали другого официанта и они уже принесли салфетки для того, чтобы мы могли вытереть себя.
И вот какая ситуация: вас испачкали в заведении и вам нужно самим просить салфетки, чтобы привести себя в порядок. Говорит ли это о хорошем сервисе? Точно нет.
Пока мы сидели, к нам так и никто не подошел с извинениями со стороны ресторана. Лишь через время организаторы квиза «Мохито» подошли, принесли извинения за инцидент (хотя это не их вина) и сами договорились с персоналом о компенсации.
В итоге нам принесли лимонад (можно было хотя бы спросить какой лимонад мы предпочитаем) и официантка Евгения наконец-то попросила извинений за происшествие, но тон и даже подача напитка была максимально безразличные. Ей было абсолютно плевать на произошедшее, абсолютно плевать на то, что она испортила одежду и соотвественно весь вечер. Мы даже о стаканах для лимонада снова должны были попросить сами - потому что ей абсолютно плевать на клиентов.

По итогу большое спасибо организатором квиза «Мохито», а также двум другим официантам парню и девушек, имена которых, к сожалению, не запомнил. А Евгение нужно срочно пересмотреть свое отношение к работе.",2,Tirol,4.5,590
Анна-Мария Алекс,8 января 2025,"Проводили в Тироле новогодний корпоратив. Остались довольны по всем пунктам: интерьер, еда, обслуживание. Особая благодарность администратору Елене. Елена проявила себя на только как профессионал, но и неравнодушный человек: вовлеченность на 100%!",5,Tirol,4.5,590
Guzal 0608,"4 января 2025, отредактирован",Очень красиво и вкусно,5,Tirol,4.5,590
Д. С.,31 декабря 2024,"Хорошая кухня, красивый интерьер, пиво не фильтрованное-классное! Рекомендую!👍",5,Tirol,4.5,590
Асель Серикбаева,28 декабря 2024,"Отмечали здесь корпоратив 27.12. Всё очень понравилось - вкусная кухня, хорошее обслуживание, отличная шоу-программа. Ведущий Рандулин не давал никому скучать и отлично справлялся с капризами не очень трезвых гостей ))).
Отдельная благодарность администратору Лене за сопровождение вечера. Всё было круто!",5,Tirol,4.5,590
Byashir Gochadze,25 декабря 2024,"Проводили мероприятие в ресторане Тироль, все было на высшем уровне🔥 спасибо вам большое! В следующий раз только к вам❤️",5,Tirol,4.5,590
Данил Пак,25 декабря 2024,"Недавно у нас был корпоратив в этом ресторане, и всё прошло просто отлично!

Очень понравилось, как всё организовали. Зал уютный, атмосфера классная, всё располагало к отдыху и веселью. Еда тоже супер — всё было вкусным, свежим и подали вовремя. Особенно понравились горячие блюда, всё на высоте!

Официанты молодцы — вежливые и всё делали быстро, ничего не приходилось ждать. Администратор-Елена учла все наши пожелания, за что отдельное спасибо.

Корпоратив прошёл на ура! Если думаете, где проводить такие мероприятия, смело выбирайте этот ресторан.",5,Tirol,4.5,590
Айсулу Исмагулова,23 декабря 2024,"Шикарное место! Провели отличный корпоратив! Все очень вкусно! Огромное спасибо ребятам официантам! Отдельная благодарность администратору Елене! Спасибо за вашу работу! Однозначно, буду рекомендовать всем друзьям и знакомым!",5,Tirol,4.5,590
Берик Курмантай,22 апреля 2025,Рис ужасный а том ям в целом очень вкусный 😍,1,TomYumBar,4.9,3625
Apple User,"21 апреля 2025, отредактирован","Вкусный Том ям, но верните нормальное количество креветок. Их всего 2 в порции 🥲",3,TomYumBar,4.9,3625
Алижан Досманов,"21 апреля 2025, отредактирован",Очень вкусный томям,5,TomYumBar,4.9,3625
Гулзада Ерғазықызы,21 апреля 2025,"Сегодня пришли поесть том ям — всё понравилось, еда очень вкусная.
Но лимонад совсем безвкусный, вообще не понравился, только он немного испортил настроение.
А так всё отлично👍🏻",3,TomYumBar,4.9,3625
Артем Блоков,"21 апреля 2025, отредактирован",Самый вкусный Том ям в Алмате. Все вкусно и классно! Спасибо большое официанту Умит за обслуживание,5,TomYumBar,4.9,3625
habibi cat🐈‍⬛,"20 апреля 2025, отредактирован",кухня 100 из 10!☺️,5,TomYumBar,4.9,3625
Марина Кондратова,"20 апреля 2025, отредактирован",Томям наивкуснейший!,5,TomYumBar,4.9,3625
Gulnara Alzhanova,"20 апреля 2025, отредактирован","Хорошее заведение, в гугл-карте тоже оставляла отзыв, была в феврале 2025г., здесь вкусно готовят том-ям, и остроту мне сделали слабую, именно так, как просила.",5,TomYumBar,4.9,3625
Ахмаджон Табаров,20 апреля 2025,Самый лучший том ям в городе 👍🏻,5,TomYumBar,4.9,3625
Yerlan Sarzhanov,"20 апреля 2025, отредактирован","Еда очень вкусная, персонал вежливый",5,TomYumBar,4.9,3625
Kusya A,"20 апреля 2025, отредактирован","Еда очень вкусная, место спокойное, красивый интерьер, хорошее обслуживание, вежливый персонал. Любимый устроил свиданку 🤭",5,TomYumBar,4.9,3625
alexander khan,20 апреля 2025,Genuine tom yum taste.,5,TomYumBar,4.9,3625
Ayazhan Satybaldieva,19 апреля 2025,#TomYumKids,5,TomYumBar,4.9,3625
Ару Матжанова,18 апреля 2025,#TomYamKids,5,TomYumBar,4.9,3625
Альбина К,18 апреля 2025,"Было супер вкусно🤩
Обслуживание на высшем уровне, посидели хорошо🙈
Детки поиграли, довольны👍 спасибо ❤️",5,TomYumBar,4.9,3625
Яна Синельникова,18 апреля 2025,"Были всей семьей, все очень понравилось. Очень вкусные роллы идеального размера😍 Том-ям - пальчики оближешь♥️ Казыбек очень приятный и внимательный молодой человек. Сервис на высоте☺️ сыну понравились черепашки)))",5,TomYumBar,4.9,3625
Meruert Oshakbaeva,18 апреля 2025,"Я не советую приходить сюда. Мы с парнем заказали том ям, рамен и лимонад. Всё было безвкусным. Больше нет того прежнего том яма! Приготовлено очень невкусно.",1,TomYumBar,4.9,3625
Александр Камалитдинов,18 апреля 2025,Вкусненько недорого красивый вид,5,TomYumBar,4.9,3625
Anastassiya Starchikova,17 апреля 2025,"Самый вкусный ТомЯм в городе, определенно, здесь 🤤 Несмотря на полную посадку блюда были поданы очень быстро (четверг, 20:00). Безумно вкусно, отличный сервис! Десерт Нежность Фудзиямы тает во рту.
Большое спасибо нашему официанту, Казыбеку, за приятный сервис 🫶",5,TomYumBar,4.9,3625
Дмитрий Москалюк,17 апреля 2025,"Очень вкусно , десерты вообще топ .
Официант Казыбек очень внимательный , спасибо",5,TomYumBar,4.9,3625
Anna S,17 апреля 2025,"Часто с семьей заходим пообедать сюда, уютная атмосфера, вежливый персонал и очень вкусная еда. Особенно понравился том ям, по вкусу как в Тайланде). Заказ принесли быстро, всё было свежим и красиво подано. Обязательно приду ещё раз и порекомендую друзьям!",5,TomYumBar,4.9,3625
Gulzat Amanzholova,"17 апреля 2025, отредактирован","Все было вкусно.
Обслуживание шикарное;спасибо официанту Казбеку и Жасмин🙏🏻",5,TomYumBar,4.9,3625
Leila Leila,"16 апреля 2025, отредактирован",ооочень вкусно - самый вкусный том ям в городе ❤️,5,TomYumBar,4.9,3625
Lil Li,16 апреля 2025,"Лучший томям👍🏻👍🏻👍🏻
Официант Казабек очень приятный 😊",5,TomYumBar,4.9,3625
Аня Ким,16 апреля 2025,"Неужели добрались до вас . Все очень вкусно, спасибо официанту Казыбек за обслуживание, за помощь с выбором. Молодцы, качество топ 🔥",5,TomYumBar,4.9,3625
Елена Дмитриевна,15 апреля 2025,Лучший том ям! Есть маленькая игровая зона для детей!,5,TomYumBar,4.9,3625
Изимбет Зерe,15 апреля 2025,"Сегодня были в Tom Yum Bar — всё очень понравилось! Атмосфера уютная, еда вкусная, а обслуживание на высоте. Особенно хотим отметить официанта Казыбека — очень вежливый, внимательный и приятный в общении. Спасибо за гостеприимство! 😊",5,TomYumBar,4.9,3625
Алёна Чен,15 апреля 2025,"Отличное заведение, очень вкусно, цены приемлимые. Прекрасный сервис. Приветливый официант КАЗЫБЕК. БЫСТРОЕ ПРИЯТНОЕ ОБСЛУЖИВАНИЕ",5,TomYumBar,4.9,3625
Аскар Качкимбаев,15 апреля 2025,Официант Казыбек просто лучший!,5,TomYumBar,4.9,3625
Dana Davletbakova,15 апреля 2025,Вкусно. Приветливый персонал. Спасибо официанту Казыбеку :),5,TomYumBar,4.9,3625
Dias Alpysbayev,15 апреля 2025,"Всё супер
Обслуживание и еда на высшем уровне
Спасибо официанту Казыбеку",5,TomYumBar,4.9,3625
china 🫦,"15 апреля 2025, отредактирован","Заведение оставило смешанные впечатления. Еда оказалась довольно посредственной, без какого-либо яркого вкуса. Заказывали лимонад, но это было просто нечто странное — на вкус как газировка с лёгким намёком на клубнику, очень искусственно. С коктейлем тоже не сложилось: хотели клубничный, но оказалось, что его нет в меню. Мы сами предложили сделать его на основе клубничного, и нам подтвердили, что это возможно. Увы, даже после переделки вкус не стал лучше — ощущение, что просто добавили сироп.

Обслуживание, правда, порадовало — персонал вежливый и старается, за это отдельный плюс. Но, к сожалению, впечатление от кухни перевесило. Оценка — 2из 5. Надеюсь, в будущем качество блюд улучшится.

Понедельник, 24 марта 2025 г. в 6:22 PM.
Вот фото для подтверждения.",2,TomYumBar,4.9,3625
Айгерим Капарова,13 апреля 2025,#TomYamKids,5,TomYumBar,4.9,3625
Er Orr,12 апреля 2025,"Посетили ваше заведение, всё очень понравилось,придём к вам еще, официантка Жасмин помогла нам с выбором,очень приятная ☺️",4,TomYumBar,4.9,3625
Guzal Ibraimova,12 апреля 2025,"Сегодня мы первый раз, приехали только ради том яма. Очень вкусно;). А еще десерт красивый и сладкий! Спасибо официантам за оперативное обслуживание. Отдельное спасибо за администратора, встретила и быстро нашла нам место! Советую",5,TomYumBar,4.9,3625
Gaukhaar ✱,12 апреля 2025,"Жасмин замечательная официантка.
Вежливая, внимательная и с тёплой улыбкой. Спасибо за отличный сервис",5,TomYumBar,4.9,3625
BAO OAB,"12 апреля 2025, отредактирован","Приятный интерьер

Чуткий персонал и хороший сервис 🫶

Ассортимент и вкус блюд 10/10

Рекомендуем",5,TomYumBar,4.9,3625
aimi aidosovna,"12 апреля 2025, отредактирован","Хочу поблагодарить ваш ресторан за невероятно вкусный том ям! Отдельное спасибо официанту Умит😇. Очень внимательная, вежливая, сделала наш вечер еще приятнее. Обязательно вернусь к вам снова и порекомендую друзьям!",5,TomYumBar,4.9,3625
Iliyas D.,12 апреля 2025,"Обслуживала официант Жансая — очень вежливая и приятная. Помогла с выбором, все быстро принесла, ни разу не пришлось звать. Приятно, когда человек на своем месте — сразу чувствуется, что старается. Спасибо, с таким сервисом хочется возвращаться.",5,TomYumBar,4.9,3625
Aigerim Adilbekova,12 апреля 2025,"Сегодня были у вас!
Кухня шикарное все свежое ! Спасибо большое наш коллектива восторге ! Все наши желание исполнили ,
Процветания вам
Советую всем",5,TomYumBar,4.9,3625
Александра Журавкова,12 апреля 2025,"посетили ресторан Tom Yum Bar — остались в полном восторге! Особенно хочется отметить великолепное обслуживание от официанта по имени Антон. Настолько внимательный, доброжелательный и искренне заботливый человек , теперь хочется приходить сюда почаще именно из-за такого сервиса!
Произошла забавная и очень милая ситуация я заказала пинаколаду, украшенную взбитыми сливками, а моему сыночку кокосовый шейк. Увидев мои сливки, малыш тут же захотел себе такие же. И знаете что? Бармен без раздумий пошёл нам навстречу и с радостью сделал взбитые сливки специально для него. Это был маленький жест, но он сделал наш вечер невероятно тёплым.
Огромное спасибо Антону, что понял ситуацию, не остался в стороне и передал нашу просьбу с заботой и улыбкой. Также хочу выразить благодарность бармену-девушке (к сожалению, не знаю имени), которая без слов поняла, что нужно сделать, и очень по-доброму отнеслась к нашему малышу. Это действительно ценно.
Такие сотрудники делают атмосферу заведения по-настоящему душевной. Вернёмся к вам снова — и не раз!",5,TomYumBar,4.9,3625
Alla Pankratova,12 апреля 2025,"Отличный том ям бар, официантка Жансая очень приятная)",5,TomYumBar,4.9,3625
Айбол Суюндиков,12 апреля 2025,"Обожаю это место, готовят вкусно самый топовый Том Ям в Ате 😃
Официантке Жасмин отдельный респект за обслуживание🙃",5,TomYumBar,4.9,3625
Mulkibai Asem,12 апреля 2025,Жасмин просто сама душка😍 спасибо большое за супер сервис❤️🙏🏻🙏🏻,5,TomYumBar,4.9,3625
Гульшат Айгожаева,12 апреля 2025,"Обожаю Tom Yam Bar! Том ям — лучший, всегда заказываю только у них! Девочки в баре — супер, сегодня меня обслужила Үміт — милашка, очень приятная. Спасибо вам!🔥🫶",5,TomYumBar,4.9,3625
Анель Бейсенбай,12 апреля 2025,"Приятное кафе, где хочется задержаться подольше. Жасмина — очень заботливая и милая, всё сделала с теплотой. Обслуживание оставило только хорошие впечатления.",5,TomYumBar,4.9,3625
Diyar Abdrashitov,12 апреля 2025,"Хочу выразить отдельно благодарность Жансае за отличный сервис! Она - очень вежливая, внимательная и улыбчивая. Всегда помогает с выбором, отвечает на все вопросы по меню и делает это с настоящей теплотой.
-уже в третий раз к вам заглядываем, все супер, Том ям😋😍",4,TomYumBar,4.9,3625
ZhuldyzaI Pernebek,"12 апреля 2025, отредактирован","Очень отличное заведение🙌🏻 Жасмина обслуживала нас очень внимательно и доброжелательно. Сразу чувствуешь, что здесь ценят гостей🥰",5,TomYumBar,4.9,3625
Merey Bekzhan,12 апреля 2025,"Отличное место для встречи с друзьями.Жасмина была очень внимательной и приветливой, помогла с выбором и всё объяснила. Сервис на уровне!",5,TomYumBar,4.9,3625
. Madi,12 апреля 2025,"Очень приятное заведение с тёплой атмосферой и хорошим сервисом. Отдельное спасибо Жасмине — она всегда приветлива, заботлива и внимательна к гостям. Благодаря её подходу чувствуешь себя как дома. Обязательно вернусь сюда снова.",5,TomYumBar,4.9,3625
Irina Mode,21 апреля 2025,"Приятное заведение, понравилось обслуживание Иосифа, подсказал по меню и был очень вежливым и обходительным.",5,Рис,4.8,1108
Aigerim G,"21 апреля 2025, отредактирован",Вкусно готовят,5,Рис,4.8,1108
Lana Lana,19 апреля 2025,"Очень вкусно, повар готовит шикарно!!!🫶🏻Обслуживание прекрасное , несмотря на полную посадку приносили все быстро и вовремя !!!",5,Рис,4.8,1108
Nursultan Mussa,17 апреля 2025,"Все очень понравилось, Иосиф душка!",5,Рис,4.8,1108
Наргиз Решетникова,14 апреля 2025,"Было очень вкусно, но больше всего нам понравилось обслуживание 😻 Иосифу лично ставим 10 из 10!!! Большое спасибо за вашу работу🙏🏼",5,Рис,4.8,1108
AILORA😨,14 апреля 2025,Вкусно капец🤩🤩🤩,5,Рис,4.8,1108
А Т,12 апреля 2025,"Очень вкусно, приятное обслуживание, нам все понравилось!!!",5,Рис,4.8,1108
Aruzh D,"11 апреля 2025, отредактирован",Бәрі өте дәмді болды! Официанттарға рахмет керемет сервис үшін🤗,5,Рис,4.8,1108
Uldana .,11 апреля 2025,"Все чудесно! Атмосфера приятная и еда вкусная, официанты вежливые 😍 Рекомендую всем",5,Рис,4.8,1108
Динара Болыс,11 апреля 2025,"Рекомендуем, все было очень вкусно. Нам помогла Аружан, спасибо!!👍🏻👍🏻",5,Рис,4.8,1108
Жансая Тузелбай,11 апреля 2025,"Все было очень вкусно ! Обслуживание очень хорошое 😍 Будем приходить ещё , обязательно ✨",5,Рис,4.8,1108
Екатерина Ким,11 апреля 2025,"Была с подругой вашем ресторане. Всё очень вкусно поворам большое спасибо. Официант Иосиф супер молодец, внимательный, добрый, Я в первый раз вижу такого официанта. Он работает на +5",5,Рис,4.8,1108
Asl .,"11 апреля 2025, отредактирован","Один из лучших ресторанов, в которых я была! Вкусная еда, уютная атмосфера и внимательный персонал.",5,Рис,4.8,1108
Konstantin Karelin,10 апреля 2025,Помещение на ресторан не тянет. Цены не соответствуют блюдам и обслуживанию.,2,Рис,4.8,1108
your mila,10 апреля 2025,"На днях были у вас в гостях, все очень понравилось, от обслуживания до атмосферы. Хочу выразить благодарность бармену Дарье за отличный сервис, все коктейли были приготовлены идеально, с отличным вкусом и подачей.",5,Рис,4.8,1108
""" Zarina """,8 апреля 2025,"Уютно, вкусно, восхищаюсь персоналом - быстро вежливо!",5,Рис,4.8,1108
Aidyn Tyshkanbayev,7 апреля 2025,"Были в данном заведении 06.04.2025 в первый раз. Очень вкусная кухня. Особо хочу отметить частоту санузлов и работу официантов. Официанту молодцы: знают меню, подсказывают и рассказывают об особенностях блюд. Чек разумный. Милая атмосфера почти по-семейному. Еще раз вернемся обязательно. Том ям с морепродуктами средней остроты, яннем чикен - отрыв бошки 🔥",5,Рис,4.8,1108
Aikyn Urazalinov,7 апреля 2025,Отличное заведение,5,Рис,4.8,1108
Irina Son,5 апреля 2025,"Оформила доставку. В позиции Суши ""Запечённый краб"" обнаружились куски целлофана. Обратилась в заведение, нулевая реакция.",1,Рис,4.8,1108
Алуа Мукат,"30 марта 2025, отредактирован","Может мы попали не в то время или выбрали не те блюда, но нам не понравилось. Супчик был очень очень жирный, как только его принесли уже были видны эти круги жира, есть его было вообще невозможно, по ощущениям я пила жир, после него ужасно тошнило.
Мясо с картошкой то же самое, картошка вкусная, а мясо не доели. Там не то что были куски жира, а само мясо пропиталось и сочилось жиром. Кукси был вроде норм. Может для тех блюд и был задуман такой уровень жирности, но есть невозможно было.
Мы повелись на отзывы, но честно говоря только вечер испортили себе этим выбором, так как удовлетворения никакого после еды не было.
Однако в самом ресторане очень красиво, уютно, можно тихо посидеть, поболтать, и при этом музыка не будет тебе орать в уши. Сервис нам понравился, все было хорошо.
По итогам: сервис, атмосфера, интерьер класс. Кухня вообще нет.",2,Рис,4.8,1108
Dinmukhamed Sabit,29 марта 2025,"Профессионально, вкусно и уютно",5,Рис,4.8,1108
Amina Zhumazhan,"25 марта 2025, отредактирован","все очень вкусно,приемлимые цены,персонал очень вежливый.",5,Рис,4.8,1108
Gulnara Nurzhakipova,23 марта 2025,Очень вкусная кухня и уютное место,5,Рис,4.8,1108
Potentia est,22 марта 2025,"Благодарю сотрудницу Эльвиру, за хорошее обслуживание и приятный комплимент 👍🏻👍🏻👍🏻",5,Рис,4.8,1108
Sara Abugali,18 марта 2025,"Все было замечательно и очень вкусно!🌞 отдельное спасибо официанту Иосифу🫶🏻✨
Всем советую этот ресторан💗",5,Рис,4.8,1108
Aselya Vi,18 марта 2025,"Все супер вкусно! Благодарю официанта Иосифа, супер обслуживание🔥",5,Рис,4.8,1108
Kazbek_Bt,"17 марта 2025, отредактирован","Вкусно и приятно, хорошее обслуживание, отдельное спасибо официантке Эльвира
Придем ещё раз",5,Рис,4.8,1108
Torekhan Z,17 марта 2025,"Все было вкусно, классный персонал!",5,Рис,4.8,1108
Айшолпан Жаубасар,17 марта 2025,Очень понравилось это место. Еда очень вкусная и свежая. И еще хочу отметить обслуживание Даниель на 5 звездиков. Буду приходить еще😊,5,Рис,4.8,1108
Сара Жанибеккызы,"16 марта 2025, отредактирован","Отличная кухня с хорошим обслуживанием гостей! Отдельная благодарность офику Избасар, такой красивый и вежливый, посоветовал самые лучше блюда, хотя у них все идеально",5,Рис,4.8,1108
Soobin Nin,16 марта 2025,"Самые лучшие токпокки и сэндвич просто бомба 👌 Официанты очень хорошо обслуживали
Обязательно вернусь снова)",5,Рис,4.8,1108
albena sem,"16 марта 2025, отредактирован","Отличное заведение! Еда просто потрясающая — всё очень вкусно, свежие продукты и большие порции. Особенно хочется отметить обслуживание — Даниель просто мастер своего дела! Вежливый, внимательный и всегда с улыбкой. Обязательно вернусь снова и всем советую😇😇",5,Рис,4.8,1108
Ранай Бисенбаева,16 марта 2025,"Очень очень вкусно и красиво
Обслуживание 10/10
Спасибо официанту Даниэль 😊",5,Рис,4.8,1108
Карина Марат,16 марта 2025,Очень все вкусно и уютно😍 администратор Сабина и официант Дэн очень компетентные и вежливые,5,Рис,4.8,1108
Томирис Ким,16 марта 2025,"Круто заведение 🤗, офики классные, еда супер😍👍🏻",5,Рис,4.8,1108
oplzey nm,16 марта 2025,очень вкусно готовит советую всем,5,Рис,4.8,1108
Nurai Nurzhigitova,16 марта 2025,"Маған тамақтары да, обслужкасы да өте ұнады, рақмет. Официант Даниэльге көп рақмет!",5,Рис,4.8,1108
Ms Rich,"14 марта 2025, отредактирован",Невкусно! Не понравилась кухня вообще Цены выше среднего,3,Рис,4.8,1108
Guzel Kimmm,"13 марта 2025, отредактирован","Просто восхитительное место!

Часто бываю в этом кафе, и это настоящее гастрономическое удовольствие! Всё на высшем уровне: изысканная подача, потрясающий вкус каждого блюда, уютная атмосфера и невероятно внимательное обслуживание. Здесь заботятся о каждом госте, создавая по-настоящему тёплую и приятную обстановку.

Каждая деталь продумана до мелочей, а салаты – просто бомбические! Обязательно вернусь, рекомендую всем, кто ценит качество и уют!",5,Рис,4.8,1108
Ажар Махамбетова,9 марта 2025,"Пришла сегодня вечером сказала на кого столик а они даже не провели , сказали там идите сами девушка молодая такая наглая и бестактная , обслуживание ужасное и в целом еда испортилась . И еще столько денег оставить не стоит того . И администратор не рыба не мяса как и официантки. Еще заранее звонили , писали что бы все было отлично . Да да а в итоге ужасно",1,Рис,4.8,1108
